SampleID	Dataset	Donor	State	Tissue
BR1_aso_NC	FANTOM6	BR1	Native	Foreskin
BR2_aso_NC	FANTOM6	BR2	Native	Foreskin
BR5_aso_NC	FANTOM6	BR5	Native	Breast
BR5_AER_aso_NC	FANTOM6	BR5	Stimulated	Breast
BR6_aso_NC	FANTOM6	BR6	Native	Foreskin
BR6_AER_aso_NC	FANTOM6	BR6	Stimulated	Foreskin
BR7_aso_NC	FANTOM6	BR7	Native	Foreskin
BR7_AER_aso_NC	FANTOM6	BR7	Stimulated	Foreskin
BR8_aso_NC	FANTOM6	BR8	Native	Breast
BR8_AER_aso_NC	FANTOM6	BR8	Stimulated	Breast
BR9_aso_NC	FANTOM6	BR9	Native	Foreskin
BR9_AER_aso_NC	FANTOM6	BR9	Stimulated	Foreskin
counts.Mast%20cell%20-%20stimulated%2c%20donor1.CNhs11073.11487-119E2.hg38.nobarcode	FANTOM5	F5_D1	Stimulated	Breast
counts.Mast%20cell%2c%20donor1.CNhs12566.11563-120D6.hg38.nobarcode	FANTOM5	F5_D1	Native	Breast
counts.Mast%20cell%2c%20donor2.CNhs12594.11565-120D8.hg38.nobarcode	FANTOM5	F5_D2	Native	Breast
counts.Mast%20cell%2c%20donor3.CNhs12593.11566-120D9.hg38.nobarcode	FANTOM5	F5_D3	Native	Breast
counts.Mast%20cell%2c%20donor4.CNhs12592.11567-120E1.hg38.nobarcode	FANTOM5	F5_D4	Native	Breast
counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor5.CNhs13925.11940-126A5.hg38.nobarcode	FANTOM5	F5_D5	Stimulated	Breast
counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor8.CNhs13927.11942-126A7.hg38.nobarcode	FANTOM5	F5_D8	Stimulated	Breast
counts.Mast%20cell%2c%20expanded%2c%20donor5.CNhs13924.11939-126A4.hg38.nobarcode	FANTOM5	F5_D5	Native	Breast
counts.Mast%20cell%2c%20expanded%2c%20donor8.CNhs13926.11941-126A6.hg38.nobarcode	FANTOM5	F5_D8	Native	Breast
